cluster_id,skills
0,['auf unterrichtssituationen reagieren']
1,['autorität ausstrahlen']
2,['b2b vertriebserfahrung haben']
3,['dynamisches arbeitsumfeld berücksichtigen']
4,['externalisierung durchführen']
5,['fahrausweis kat. b besitzen']
6,['fertigungserfahrung haben']
7,['freude an arbeit zeigen']
8,['grosse datenmengen bearbeiten']
9,['grundhaltung zeigen']
10,['halbautomatische hamburgerautomaten entwickeln']
11,['hotelbuchungen verwalten']
12,['innovative unterrichtsformen anwenden']
13,['kenntnisse im pressen haben']
14,['kenntnisse im schweissen haben']
15,['kollegialität fördern']
16,['krippenalltag mitplanen']
17,['kupferbearbeitung unterstützen']
18,['leistungshalbleiter betrachten']
19,['microsoft business central nutzen']
20,['mit lehrerkollegen zusammenarbeiten']
21,['mitwirkung leisten']
22,['neue autorität anwenden']
23,['pc-kenntnisse haben']
24,['pulsmuster analysieren']
25,['six sigma anwenden']
26,['sonderschulbereich erfahren']
27,['stromrichtertopologien analysieren']
28,['teamorientiert sein']
29,['teamspirit teilen']
30,['teamteaching anwenden']
31,['teil eines schulteams sein']
32,['umsatzvolumen führen']
33,['wertorientierung leben']
34,['wipro maschine einrichten und bedienen']
