rank,count,representative,group_members
1,2,kenntnisse im schweissen haben,"kenntnisse im pressen haben, kenntnisse im schweissen haben"
2,1,externalisierung durchführen,externalisierung durchführen
3,1,teamspirit teilen,teamspirit teilen
4,1,sonderschulbereich erfahren,sonderschulbereich erfahren
5,1,hotelbuchungen verwalten,hotelbuchungen verwalten
6,1,teil eines schulteams sein,teil eines schulteams sein
7,1,grosse datenmengen bearbeiten,grosse datenmengen bearbeiten
8,1,six sigma anwenden,six sigma anwenden
9,1,umsatzvolumen führen,umsatzvolumen führen
10,1,b2b vertriebserfahrung haben,b2b vertriebserfahrung haben
11,1,teamorientiert sein,teamorientiert sein
12,1,microsoft business central nutzen,microsoft business central nutzen
13,1,mit lehrerkollegen zusammenarbeiten,mit lehrerkollegen zusammenarbeiten
14,1,dynamisches arbeitsumfeld berücksichtigen,dynamisches arbeitsumfeld berücksichtigen
15,1,teamteaching anwenden,teamteaching anwenden
16,1,fahrausweis kat. b besitzen,fahrausweis kat. b besitzen
17,1,kupferbearbeitung unterstützen,kupferbearbeitung unterstützen
18,1,wipro maschine einrichten und bedienen,wipro maschine einrichten und bedienen
19,1,fertigungserfahrung haben,fertigungserfahrung haben
20,1,pc-kenntnisse haben,pc-kenntnisse haben
21,1,krippenalltag mitplanen,krippenalltag mitplanen
22,1,freude an arbeit zeigen,freude an arbeit zeigen
23,1,kollegialität fördern,kollegialität fördern
24,1,grundhaltung zeigen,grundhaltung zeigen
25,1,mitwirkung leisten,mitwirkung leisten
26,1,innovative unterrichtsformen anwenden,innovative unterrichtsformen anwenden
27,1,wertorientierung leben,wertorientierung leben
28,1,halbautomatische hamburgerautomaten entwickeln,halbautomatische hamburgerautomaten entwickeln
29,1,autorität ausstrahlen,autorität ausstrahlen
30,1,auf unterrichtssituationen reagieren,auf unterrichtssituationen reagieren
31,1,neue autorität anwenden,neue autorität anwenden
32,1,leistungshalbleiter betrachten,leistungshalbleiter betrachten
33,1,stromrichtertopologien analysieren,stromrichtertopologien analysieren
34,1,pulsmuster analysieren,pulsmuster analysieren
